,,,,,,,,,,,,bdhp-v4.6.0,bdhp-v4.6.0-saas,,,,,,,,,,,,,,,,,,,,,,,,
Repo Name,Container Image Name,On-Prem?,SaaS?,"On-Prem 
or SaaS?","SAST?
(Coverity)","SCA?
(FOSSA)","Produces 
Container 
image?",SBOM?,Language,Helm Chart Name,Dockerfile Path,"On-Prem
Version 
to Test","SaaS
Version 
to Test",On-Prem matches SaaS?,"On-Prem
FOSSA Scan Needed?","SaaS
FOSSA Scan Needed?",FOSSA Scan Needed?,FOSSA Scan Completed?,FOSSA SBOM Created?,Git Pull Latest and Fetch,On-Prem Git Checkout Tag as Branch,SAAS Git Checkout Tag as Branch,On-Prem Snyk Version Tag,SAAS Snyk Version Tag,On-Prem Invoke-Snyk-Container-Monitor PowerShell Command,SAAS Invoke-Snyk-Container-Monitor PowerShell Command,On-Prem New-Snyk-Container-Sbom PowerShell Command,SAAS New-Snyk-Container-Sbom PowerShell Command,On-Prem fossa analyze Command,SAAS fossa analyze Command,,,,Image Name,Tag,,
bdhp-account,bdhp-account,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-account,AccountService\Dockerfile,4.23.0,4.22.0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-account && git checkout -b 4.23.0-tag-as-branch 4.23.0,cd ../bdhp-account && git checkout -b 4.23.0-tag-as-branch 4.23.0,cd ../bdhp-account && git checkout -b 4.22.0-tag-as-branch 4.22.0,version=4.23.0,version=4.22.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.23.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-account:4.23.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-account\AccountService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.22.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-account:4.22.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-account\AccountService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-account:4.23.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-account__4.23.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-account:4.22.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-account__4.22.0.json""","cd ../bdhp-account
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-account -r 4.23.0","cd ../bdhp-account
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-account -r 4.22.0",4.12.9,4.12.9,TRUE,bdhp-account,4.22.0,FALSE,4.22.0
bdhp-adt,bdhp-adt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-adt,ADTService\Dockerfile,5.9.0,5.9.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-adt && git pull origin dev && git fetch && git branch,cd ../bdhp-adt && git checkout -b 5.9.0-tag-as-branch 5.9.0,cd ../bdhp-adt && git checkout -b 5.9.0-tag-as-branch 5.9.0,version=5.9.0,version=5.9.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.9.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-adt:5.9.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-adt\ADTService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.9.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-adt:5.9.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-adt\ADTService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-adt:5.9.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-adt__5.9.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-adt:5.9.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-adt__5.9.0.json""","cd ../bdhp-adt
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-adt -r 5.9.0","cd ../bdhp-adt
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-adt -r 5.9.0",4.52.3,4.52.3,TRUE,bdhp-adt,5.9.0,,
bdhp-alarm-reporter,bdhp-alarm-reporter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-alarm-reporter,AlarmReporterService\Dockerfile,4.25.1,4.25.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-alarm-reporter && git pull origin dev && git fetch && git branch,cd ../bdhp-alarm-reporter && git checkout -b 4.25.1-tag-as-branch 4.25.1,cd ../bdhp-alarm-reporter && git checkout -b 4.25.1-tag-as-branch 4.25.1,version=4.25.1,version=4.25.1,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.25.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-alarm-reporter:4.25.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-alarm-reporter\AlarmReporterService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.25.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-alarm-reporter:4.25.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-alarm-reporter\AlarmReporterService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-alarm-reporter:4.25.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-alarm-reporter__4.25.1.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-alarm-reporter:4.25.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-alarm-reporter__4.25.1.json""","cd ../bdhp-alarm-reporter
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-alarm-reporter -r 4.25.1","cd ../bdhp-alarm-reporter
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-alarm-reporter -r 4.25.1",4.18.10,4.18.10,TRUE,bdhp-alarm-reporter,4.25.1,,
bdhp-allergy-intolerance,bdhp-allergy-intolerance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-allergy-intolerance,AllergyIntoleranceService\Dockerfile,5.14.0,5.14.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-allergy-intolerance && git pull origin dev && git fetch && git branch,cd ../bdhp-allergy-intolerance && git checkout -b 5.14.0-tag-as-branch 5.14.0,cd ../bdhp-allergy-intolerance && git checkout -b 5.14.0-tag-as-branch 5.14.0,version=5.14.0,version=5.14.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.14.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-allergy-intolerance:5.14.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-allergy-intolerance\AllergyIntoleranceService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.14.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-allergy-intolerance:5.14.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-allergy-intolerance\AllergyIntoleranceService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-allergy-intolerance:5.14.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-allergy-intolerance__5.14.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-allergy-intolerance:5.14.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-allergy-intolerance__5.14.0.json""","cd ../bdhp-allergy-intolerance
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-allergy-intolerance -r 5.14.0","cd ../bdhp-allergy-intolerance
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-allergy-intolerance -r 5.14.0",0,0,TRUE,bdhp-allergy-intolerance,5.14.0,,
bdhp-audit-event,bdhp-audit-event,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-audit-event,AuditEventService\Dockerfile,,4.24.0,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-audit-event && git pull origin dev && git fetch && git branch,,cd ../bdhp-audit-event && git checkout -b 4.24.0-tag-as-branch 4.24.0,,version=4.24.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.24.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-audit-event:4.24.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-audit-event\AuditEventService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-audit-event:4.24.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-audit-event__4.24.0.json""",,"cd ../bdhp-audit-event
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-audit-event -r 4.24.0",,4.13.6,TRUE,bdhp-audit-event,4.24.0,,
bdhp-bridge,bdhp-bridge,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-bridge,BridgeService\Dockerfile,1.5.1,,,TRUE,,TRUE,TRUE,TRUE,cd ../bdhp-bridge && git pull origin dev && git fetch && git branch,cd ../bdhp-bridge && git checkout -b 1.5.1-tag-as-branch 1.5.1,,version=1.5.1,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=1.5.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-bridge:1.5.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-bridge\BridgeService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-bridge:1.5.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-bridge__1.5.1.json""",,"cd ../bdhp-bridge
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-bridge -r 1.5.1",,0,,FALSE,,,,
bdhp-catalog,bdhp-catalog,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-catalog,CatalogService\Dockerfile,5.78.4,5.78.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-catalog && git pull origin dev && git fetch && git branch,cd ../bdhp-catalog && git checkout -b 5.78.4-tag-as-branch 5.78.4,cd ../bdhp-catalog && git checkout -b 5.78.4-tag-as-branch 5.78.4,version=5.78.4,version=5.78.4,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.78.4"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog:5.78.4"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-catalog\CatalogService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.78.4"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog:5.78.4"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-catalog\CatalogService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog:5.78.4"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-catalog__5.78.4.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog:5.78.4"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-catalog__5.78.4.json""","cd ../bdhp-catalog
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-catalog -r 5.78.4","cd ../bdhp-catalog
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-catalog -r 5.78.4",4.138.5,4.138.5,TRUE,bdhp-catalog,5.78.2,,
bdhp-catalog-configuration,bdhp-catalog-configuration,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-catalog-configuration,CatalogConfiguration\Dockerfile,5.16.1,5.16.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-catalog-configuration && git pull origin dev && git fetch && git branch,cd ../bdhp-catalog-configuration && git checkout -b 5.16.1-tag-as-branch 5.16.1,cd ../bdhp-catalog-configuration && git checkout -b 5.16.1-tag-as-branch 5.16.1,version=5.16.1,version=5.16.1,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.16.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-configuration:5.16.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-catalog-configuration\CatalogConfiguration\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.16.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-configuration:5.16.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-catalog-configuration\CatalogConfiguration\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-configuration:5.16.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-catalog-configuration__5.16.1.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-configuration:5.16.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-catalog-configuration__5.16.1.json""","cd ../bdhp-catalog-configuration
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-catalog-configuration -r 5.16.1","cd ../bdhp-catalog-configuration
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-catalog-configuration -r 5.16.1",4.43.5,4.43.5,FALSE,,,,
bdhp-catalog-service-jobs,bdhp-catalog-service-jobs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-catalog-service-jobs,CatalogServiceJobs\Dockerfile,4.3.1,4.3.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-catalog-service-jobs && git pull origin dev && git fetch && git branch,cd ../bdhp-catalog-service-jobs && git checkout -b 4.3.1-tag-as-branch 4.3.1,cd ../bdhp-catalog-service-jobs && git checkout -b 4.3.1-tag-as-branch 4.3.1,version=4.3.1,version=4.3.1,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.3.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-service-jobs:4.3.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-catalog-service-jobs\CatalogServiceJobs\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.3.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-service-jobs:4.3.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-catalog-service-jobs\CatalogServiceJobs\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-service-jobs:4.3.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-catalog-service-jobs__4.3.1.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-catalog-service-jobs:4.3.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-catalog-service-jobs__4.3.1.json""","cd ../bdhp-catalog-service-jobs
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-catalog-service-jobs -r 4.3.1","cd ../bdhp-catalog-service-jobs
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-catalog-service-jobs -r 4.3.1",4.2.3,4.2.3,TRUE,bdhp-catalog-service-jobs,4.3.1,,
bdhp-clamav,bdhp-clamav,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Shell,bdhp-clamav,clamav\Dockerfile,4.14.8,4.14.8,TRUE,,,,,,,,,version=4.14.8,version=4.14.8,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.14.8"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-clamav:4.14.8"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-clamav\clamav\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.14.8"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-clamav:4.14.8"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-clamav\clamav\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-clamav:4.14.8"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-clamav__4.14.8.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-clamav:4.14.8"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-clamav__4.14.8.json""",,,4.14.4,4.14.4,TRUE,bdhp-clamav,4.14.8,,
bdhp-communication,bdhp-communication,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-communication,CommunicationService\Dockerfile,4.32.2,4.26.0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-communication && git pull origin dev && git fetch && git branch,cd ../bdhp-communication && git checkout -b 4.32.2-tag-as-branch 4.32.2,cd ../bdhp-communication && git checkout -b 4.26.0-tag-as-branch 4.26.0,version=4.32.2,version=4.26.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.32.2"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-communication:4.32.2"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-communication\CommunicationService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.26.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-communication:4.26.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-communication\CommunicationService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-communication:4.32.2"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-communication__4.32.2.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-communication:4.26.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-communication__4.26.0.json""","cd ../bdhp-communication
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-communication -r 4.32.2","cd ../bdhp-communication
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-communication -r 4.26.0",4.16.6,4.16.6,TRUE,bdhp-communication,4.26.0,,
