,,,,,,,,,,,,bdhp-v4.6.0,bdhp-v4.6.0-saas,,,,,,,,,,,,,,,,,,,,,,,,
bdhp-dbmigration-base,bdhp-dbmigration-base,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,,DbService.Data.Migrations\Dockerfile,4.12.0,4.3.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-dbmigration-base && git pull origin dev && git fetch && git branch,cd ../bdhp-dbmigration-base && git checkout -b 4.12.0-tag-as-branch 4.12.0,cd ../bdhp-dbmigration-base && git checkout -b 4.3.5-tag-as-branch 4.3.5,version=4.12.0,version=4.3.5,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.12.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dbmigration-base:4.12.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-dbmigration-base\DbService.Data.Migrations\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.3.5"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dbmigration-base:4.3.5"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-dbmigration-base\DbService.Data.Migrations\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dbmigration-base:4.12.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-dbmigration-base__4.12.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dbmigration-base:4.3.5"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-dbmigration-base__4.3.5.json""","cd ../bdhp-dbmigration-base
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-dbmigration-base -r 4.12.0","cd ../bdhp-dbmigration-base
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-dbmigration-base -r 4.3.5",0,0,FALSE,bdhp-device,4.26.0,,
bdhp-device,bdhp-device,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-device,DeviceService\Dockerfile,4.28.0,4.26.0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-device && git pull origin dev && git fetch && git branch,cd ../bdhp-device && git checkout -b 4.28.0-tag-as-branch 4.28.0,cd ../bdhp-device && git checkout -b 4.26.0-tag-as-branch 4.26.0,version=4.28.0,version=4.26.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.28.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device:4.28.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-device\DeviceService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.26.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device:4.26.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-device\DeviceService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device:4.28.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-device__4.28.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device:4.26.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-device__4.26.0.json""","cd ../bdhp-device
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-device -r 4.28.0","cd ../bdhp-device
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-device -r 4.26.0",4.17.9,4.17.9,FALSE,bdhp-device-gateway,4.19.0,,
bdhp-device-gateway,bdhp-device-gateway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-device-gateway,DeviceGatewayService\Dockerfile,4.19.0,4.19.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-device-gateway && git pull origin dev && git fetch && git branch,cd ../bdhp-device-gateway && git checkout -b 4.19.0-tag-as-branch 4.19.0,cd ../bdhp-device-gateway && git checkout -b 4.19.0-tag-as-branch 4.19.0,version=4.19.0,version=4.19.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.19.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway:4.19.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-device-gateway\DeviceGatewayService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.19.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway:4.19.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-device-gateway\DeviceGatewayService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway:4.19.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-device-gateway__4.19.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway:4.19.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-device-gateway__4.19.0.json""","cd ../bdhp-device-gateway
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-device-gateway -r 4.19.0","cd ../bdhp-device-gateway
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-device-gateway -r 4.19.0",4.12.3,4.12.3,FALSE,bdhp-device-gateway-engine,5.13.10,,
bdhp-device-gateway-engine,bdhp-device-gateway-engine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-device-gateway-engine,DeviceGatewayEngine\Dockerfile,5.19.0,5.13.10,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-device-gateway-engine && git pull origin dev && git fetch && git branch,cd ../bdhp-device-gateway-engine && git checkout -b 5.19.0-tag-as-branch 5.19.0,cd ../bdhp-device-gateway-engine && git checkout -b 5.13.10-tag-as-branch 5.13.10,version=5.19.0,version=5.13.10,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.19.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway-engine:5.19.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-device-gateway-engine\DeviceGatewayEngine\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.13.10"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway-engine:5.13.10"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-device-gateway-engine\DeviceGatewayEngine\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway-engine:5.19.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-device-gateway-engine__5.19.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-device-gateway-engine:5.13.10"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-device-gateway-engine__5.13.10.json""","cd ../bdhp-device-gateway-engine
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-device-gateway-engine -r 5.19.0","cd ../bdhp-device-gateway-engine
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-device-gateway-engine -r 5.13.10",4.16.2,4.16.2,FALSE,,,,
bdhp-dotnet-base,bdhp-dotnet-base,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Dockerfile,,Dockerfile,8.0.6,6.0.7,FALSE,,,,,,,,,version=8.0.6,version=6.0.7,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=8.0.6"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dotnet-base:8.0.6"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-dotnet-base\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=6.0.7"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dotnet-base:6.0.7"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-dotnet-base\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dotnet-base:8.0.6"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-dotnet-base__8.0.6.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-dotnet-base:6.0.7"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-dotnet-base__6.0.7.json""",,,0,0,FALSE,,,,
bdhp-dotnet-base-debian,bdhp-dotnet-base-debian,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Dockerfile,,Dockerfile,,,TRUE,,,,,,,,,,version=,,,,,,,,,,,,,
bdhp-enterprise-configuration,bdhp-ecp-ui,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,JavaScript,bdhp-ecp-ui,EnterpriseConfiguration\Dockerfile,5.4.9,5.4.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-enterprise-configuration && git pull origin dev && git fetch && git branch,cd ../bdhp-enterprise-configuration && git checkout -b 5.4.9-tag-as-branch 5.4.9,cd ../bdhp-enterprise-configuration && git checkout -b 5.4.9-tag-as-branch 5.4.9,version=5.4.9,version=5.4.9,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.4.9"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-ecp-ui:5.4.9"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-enterprise-configuration\EnterpriseConfiguration\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.4.9"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-ecp-ui:5.4.9"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-enterprise-configuration\EnterpriseConfiguration\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-ecp-ui:5.4.9"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-ecp-ui__5.4.9.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-ecp-ui:5.4.9"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-ecp-ui__5.4.9.json""","cd ../bdhp-enterprise-configuration/EnterpriseConfiguration
npm i --lockfile-version 2 --package-lock-only
cd ..
fossa analyze -T BDHP -t bdhp-enterprise-configuration -r 5.4.9","cd ../bdhp-enterprise-configuration/EnterpriseConfiguration
npm i --lockfile-version 2 --package-lock-only
cd ..
fossa analyze -T BDHP -t bdhp-enterprise-configuration -r 5.4.9",4.76.0,4.76.0,FALSE,bdhp-emr-vitals,4.17.0,,
bdhp-emr-vitals-service,bdhp-emr-vitals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-emr-vitals,EMRVitals\Dockerfile,4.17.0,4.17.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-emr-vitals-service && git pull origin dev && git fetch && git branch,cd ../bdhp-emr-vitals-service && git checkout -b 4.17.0-tag-as-branch 4.17.0,cd ../bdhp-emr-vitals-service && git checkout -b 4.17.0-tag-as-branch 4.17.0,version=4.17.0,version=4.17.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.17.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-emr-vitals:4.17.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-emr-vitals-service\EMRVitals\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.17.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-emr-vitals:4.17.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-emr-vitals-service\EMRVitals\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-emr-vitals:4.17.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-emr-vitals__4.17.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-emr-vitals:4.17.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-emr-vitals__4.17.0.json""","cd ../bdhp-emr-vitals-service
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-emr-vitals-service -r 4.17.0","cd ../bdhp-emr-vitals-service
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-emr-vitals-service -r 4.17.0",4.10.2,4.10.2,FALSE,bdhp-encounter,4.24.0,,
bdhp-encounter,bdhp-encounter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-encounter,EncounterService\Dockerfile,4.56.0,4.24.0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-encounter && git pull origin dev && git fetch && git branch,cd ../bdhp-encounter && git checkout -b 4.56.0-tag-as-branch 4.56.0,cd ../bdhp-encounter && git checkout -b 4.24.0-tag-as-branch 4.24.0,version=4.56.0,version=4.24.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.56.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-encounter:4.56.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-encounter\EncounterService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.24.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-encounter:4.24.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-encounter\EncounterService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-encounter:4.56.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-encounter__4.56.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-encounter:4.24.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-encounter__4.24.0.json""","cd ../bdhp-encounter
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-encounter -r 4.56.0","cd ../bdhp-encounter
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-encounter -r 4.24.0",4.13.10,4.13.10,FALSE,,,,
bdhp-enterprise-gateway,bdhp-enterprise-gateway,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Dockerfile,bdhp-enterprise-gateway,bdhp-enterprise-gateway\Dockerfile,4.96.0,4.96.0,TRUE,,,,,,,,,version=4.96.0,version=4.96.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.96.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-enterprise-gateway:4.96.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-enterprise-gateway\bdhp-enterprise-gateway\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.96.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-enterprise-gateway:4.96.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-enterprise-gateway\bdhp-enterprise-gateway\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-enterprise-gateway:4.96.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-enterprise-gateway__4.96.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-enterprise-gateway:4.96.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-enterprise-gateway__4.96.0.json""",,,4.76.0,4.76.0,FALSE,bdhp-group,4.24.0,,
bdhp-group,bdhp-group,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-group,GroupService\Dockerfile,,4.24.0,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-group && git pull origin dev && git fetch && git branch,,cd ../bdhp-group && git checkout -b 4.24.0-tag-as-branch 4.24.0,,version=4.24.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.24.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-group:4.24.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-group\GroupService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-group:4.24.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-group__4.24.0.json""",,"cd ../bdhp-group
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-group -r 4.24.0",,4.14.6,FALSE,bdhp-hl7outbound,4.23.0,,
bdhp-hl7-bed-outbound-service,bdhp-hl7outbound,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-hl7outbound,RabbitMQHL7Service\Dockerfile,4.23.0,4.23.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-hl7-bed-outbound-service && git pull origin dev && git fetch && git branch,cd ../bdhp-hl7-bed-outbound-service && git checkout -b 4.23.0-tag-as-branch 4.23.0,cd ../bdhp-hl7-bed-outbound-service && git checkout -b 4.23.0-tag-as-branch 4.23.0,version=4.23.0,version=4.23.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.23.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-hl7outbound:4.23.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-hl7-bed-outbound-service\RabbitMQHL7Service\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.23.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-hl7outbound:4.23.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-hl7-bed-outbound-service\RabbitMQHL7Service\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-hl7outbound:4.23.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-hl7outbound__4.23.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-hl7outbound:4.23.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-hl7outbound__4.23.0.json""","cd ../bdhp-hl7-bed-outbound-service
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-hl7-bed-outbound-service -r 4.23.0","cd ../bdhp-hl7-bed-outbound-service
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-hl7-bed-outbound-service -r 4.23.0",4.16.2,4.16.2,FALSE,bdhp-iqecs,6.24.20,,
